Q,System,scale-factor,prover time 4threads (s),prover time 1thread (s),total verifier time (ms),core verifier time (ms),preprocessed veritifier time (ms),proof size core(KB),plan size (KB),total proof size (KB)
q1_p,tt,0.01,,9.392,12.61,7.725,13.23,18.80,2.65,21.45
q1,tt,0.01,,12.98,15.17,8.577,16.77,22.64,3.08,25.72
q1,poneglyph,0.01,,20.26,4.77,,,,,7.47
q1_p,tt,0.02,,17.88,12.59,8.023,4.281,19.26,2.65,21.90
q1,tt,0.02,,24.93,14.39,8.756,5.6,23.09,3.08,26.17
q1,poneglyph,0.02,,38.94,5.15,,,,,7.47
q1_p,tt,0.04,,34.26,12.88,8.342,4.405,19.71,2.65,22.36
q1,tt,0.04,,48.4,15.01,8.668,5.732,23.54,3.08,26.63
q1,poneglyph,0.04,,77.31,5.01,,,,,7.47
q1_p,tt,0.05,20.49,63.12,12.91,8.475,4.152,20.16,2.65,22.81
q1,tt,0.05,28.65,89.16,14.97,9.141,5.448,24.00,3.08,27.08
q1_p,tt,0.1,40.62,126.42,13.08,9.054,4.179,20.62,2.65,23.26
q1,tt,0.1,57.41,178.62,15.35,9.52,5.489,24.45,3.08,27.53
q2,tt,0.01,,25.02,40.46,21.51,36.05,94.18,5.15,99.33
q2,tt,0.02,,26.58,37.12,21.04,14.88,94.18,5.15,99.33
q2,tt,0.04,,31.96,37.49,19.62,15.34,94.18,5.15,99.33
q2,tt,0.05,10.31,33.22,37.63,20.74,15.25,94.18,5.15,99.33
q2,tt,0.1,18.42,59.91,37.33,20.5,14.24,94.63,5.15,99.78
q3_p,tt,0.01,,21.41,25.17,15.4,20.17,66.66,3.23,69.89
q3,tt,0.01,,21.97,25.29,15.74,20.83,67.74,3.08,70.82
q3,poneglyph,0.01,,38.44,9.7,,,,,18.28
q3_p,tt,0.02,,38.98,24.66,15.59,7.425,67.12,3.23,70.34
q3,tt,0.02,,49.79,24.63,15.87,7.466,68.19,3.08,71.27
q3,poneglyph,0.02,,72.64,9.44,,,,,18.28
q3_p,tt,0.04,,73.32,24.47,15.56,7.619,67.57,3.23,70.80
q3,tt,0.04,,82.14,25.04,16.19,7.636,68.64,3.08,71.72
q3,poneglyph,0.04,,144.83,10.3,,,,,18.28
q3_p,tt,0.05,42.7,142.38,23.0,15.29,7.283,68.02,3.23,71.25
q3,tt,0.05,43.89,143.88,23.35,15.25,7.329,69.10,3.08,72.18
q3_p,tt,0.1,87.18,281.04,24.63,16.18,7.277,68.47,3.23,71.70
q3,tt,0.1,89.94,289.08,25.14,16.99,7.342,69.55,3.08,72.63
q4,tt,0.01,,16.95,17.35,11.16,14.14,38.29,2.24,40.53
q4,tt,0.02,,38.32,16.82,11.15,5.13,38.75,2.24,40.99
q4,tt,0.04,,65.1,17.12,11.54,5.215,39.20,2.24,41.44
q4,tt,0.05,36.7,114.66,16.27,11.18,5.003,39.65,2.24,41.89
q4,tt,0.1,71.88,223.32,17.26,12.31,5.01,40.11,2.24,42.35
q5_p,tt,0.01,,29.37,35.36,19.95,30.54,101.64,4.08,105.71
q5,tt,0.01,,30.06,37.21,20.28,29.59,102.71,3.88,106.60
q5,poneglyph,0.01,,48.31,11.33,,,,,22.94
q5_p,tt,0.02,,47.84,33.35,19.93,11.86,102.09,4.08,106.17
q5,tt,0.02,,55.51,33.76,20.34,11.89,103.17,3.88,107.05
q5,poneglyph,0.02,,91.01,11.18,,,,,22.94
q5_p,tt,0.04,,83.28,33.69,20.1,12.12,102.54,4.08,106.62
q5,tt,0.04,,101.04,34.96,20.88,12.14,103.62,3.88,107.50
q5,poneglyph,0.04,,181.28,11.11,,,,,22.94
q5_p,tt,0.05,52.71,168.42,31.44,19.23,11.72,103.00,4.08,107.07
q5,tt,0.05,54.19,173.76,32.27,19.1,11.8,104.07,3.88,107.96
q5_p,tt,0.1,107.28,339.24,34.32,21.0,11.43,103.45,4.08,107.53
q5,tt,0.1,110.58,347.34,34.17,21.1,11.44,104.53,3.88,108.41
q6,tt,0.01,,17.21,12.59,9.634,8.41,28.62,1.68,30.30
q6,tt,0.02,,33.51,12.76,10.15,2.658,29.07,1.68,30.75
q6,tt,0.04,,66.66,13.07,10.39,2.722,29.52,1.68,31.20
q6,tt,0.05,39.41,121.8,12.58,10.21,2.513,29.97,1.68,31.66
q6,tt,0.1,80.76,248.7,13.01,10.8,2.559,30.43,1.68,32.11
q7,tt,0.01,,44.43,41.1,24.35,37.11,109.12,4.59,113.72
q7,tt,0.02,,81.84,39.82,23.9,15.05,109.58,4.59,114.17
q7,tt,0.04,,159.96,40.16,24.33,15.54,110.03,4.59,114.62
q7,tt,0.05,79.2,252.78,38.14,22.21,14.91,110.48,4.59,115.07
q7,tt,0.1,164.46,506.46,42.53,24.54,16.68,110.93,4.59,115.53
q8_p,tt,0.01,,41.01,62.49,36.65,49.61,186.33,5.31,191.64
q8,tt,0.01,,41.12,64.01,40.61,24.37,186.30,5.09,191.38
q8,poneglyph,0.01,,64.60,13.80,,,,,29.5
q8_p,tt,0.02,,69.54,59.16,35.35,22.13,186.78,5.31,192.09
q8,tt,0.02,,72.18,59.72,35.42,22.06,186.75,5.09,191.84
q8,poneglyph,0.02,,123.91,13.81,,,,,29.5
q8_p,tt,0.04,,121.26,59.96,34.28,40.34,187.24,5.31,192.55
q8,tt,0.04,,130.5,60.84,35.98,26.13,187.20,5.09,192.29
q8,poneglyph,0.04,,242.50,14.19,,,,,29.5
q8_p,tt,0.05,71.22,226.92,56.88,31.36,23.24,187.69,5.31,193.00
q8,tt,0.05,71.88,227.64,57.31,31.93,23.14,187.66,5.09,192.74
q8_p,tt,0.1,146.52,452.22,60.9,36.0,24.06,188.14,5.31,193.46
q8,tt,0.1,147.3,449.94,61.66,36.54,24.05,188.11,5.09,193.20
q9_p,tt,0.01,,49.83,25.51,14.37,9.761,63.37,4.16,67.53
q9,tt,0.01,,49.48,25.46,14.66,9.599,63.37,3.94,67.31
q9,poneglyph,0.01,,51.82,13.57,,,,,27.66
q9_p,tt,0.02,,54.85,25.74,14.01,9.653,63.82,4.16,67.98
q9,tt,0.02,,94.98,25.62,14.56,9.485,63.82,3.94,67.76
q9,poneglyph,0.02,,103.90,13.27,,,,,27.66
q9_p,tt,0.04,,76.74,25.45,14.07,9.77,64.27,4.16,68.43
q9,tt,0.04,,184.32,25.92,14.61,9.53,64.28,3.94,68.22
q9,poneglyph,0.04,,209.36,13.37,,,,,27.66
q9_p,tt,0.05,37.25,119.16,24.35,14.18,9.613,64.73,4.16,68.89
q9,tt,0.05,97.14,328.38,24.93,14.22,9.433,64.73,3.94,68.67
q9_p,tt,0.1,69.36,216.54,33.15,18.96,11.7,65.18,4.16,69.34
q9,tt,0.1,201.6,1033.8,32.44,19.07,11.56,65.19,3.94,69.12
q10,tt,0.01,,51.94,33.93,28.8,7.451,67.74,3.77,71.50
q10,tt,0.02,,95.16,34.81,26.48,7.633,68.19,3.77,71.95
q10,tt,0.04,,188.28,34.98,26.69,7.475,68.64,3.77,72.41
q10,tt,0.05,101.4,341.88,33.93,25.76,7.451,69.09,3.77,72.86
q10,tt,0.1,220.44,696.0,35.75,27.62,7.631,69.55,3.77,73.31
q12,tt,0.01,,17.6,10.42,10.37,6.362,27.73,3.35,31.07
q12,tt,0.02,,34.98,15.94,10.35,5.561,28.18,3.35,31.53
q12,tt,0.04,,67.68,16.17,10.38,5.456,28.63,3.35,31.98
