Q,System,scale-factor,prover time 4threads (s),prover time 1thread (s),total verifier time (ms),core verifier time (ms),preprocessed veritifier time (ms),proof size core(KB),plan size (KB),total proof size (KB)
q1,tt,0.05,21.33,64.80,19.51,10.32,9.19,,,
q1,tt,0.1,43.84,129.36,19.48,10.12,9.36,,,
q2,tt,0.05,7.32,24.32,45.62,18.25,27.37,,,
q2,tt,0.1,12.67,42.81,45.93,18.18,27.75,,,
q3,tt,0.05,24.56,79.62,25.63,12.94,12.69,,,
q3,tt,0.1,49.71,157.38,26.92,14.66,12.26,,,
q4,tt,0.05,25.99,80.88,19.04,10.88,8.16,,,
q4,tt,0.1,52.03,159.06,19.43,12.29,7.14,,,
q5,tt,0.05,27.84,91.08,32.87,14.74,18.13,,,
q5,tt,0.1,56.93,181.80,33.24,16.00,17.24,,,
q6,tt,0.05,21.77,65.10,13.79,9.68,4.11,,,
q6,tt,0.1,45.39,130.44,14.40,10.40,4.00,,,
q7,tt,0.05,40.75,129.06,46.06,16.99,29.07,,,
q7,tt,0.1,84.30,257.58,46.36,18.04,28.32,,,
q8,tt,0.05,37.32,122.52,52.45,22.27,30.18,,,
q8,tt,0.1,74.46,240.24,53.02,23.45,29.57,,,
q9,tt,0.05,54.78,148.14,29.62,12.55,17.07,,,
q9,tt,0.1,130.32,316.92,31.04,13.53,17.51,,,
q10,tt,0.05,58.73,182.58,39.09,24.05,15.04,,,
q10,tt,0.1,130.26,374.40,41.01,25.30,15.71,,,
q12,tt,0.05,27.51,83.76,19.59,10.61,8.98,,,
q12,tt,0.1,56.70,167.82,20.05,10.48,9.57,,,
q14,tt,0.05,13.05,41.20,15.32,9.17,6.15,,,
q14,tt,0.1,26.68,81.72,16.48,10.44,6.04,,,
q15,tt,0.05,38.99,117.48,28.56,13.87,14.69,,,
q15,tt,0.1,79.62,234.54,29.07,13.93,15.14,,,
q17,tt,0.05,23.41,74.52,22.94,11.04,11.90,,,
q17,tt,0.1,46.42,144.96,23.23,12.52,10.71,,,
q18,tt,0.05,41.92,129.54,27.59,14.54,13.05,,,
q18,tt,0.1,87.06,262.20,29.03,16.03,13.00,,,
q19,tt,0.05,64.32,197.58,56.53,23.58,32.95,,,
q19,tt,0.1,143.16,405.96,56.79,24.57,32.22,,,
q20,tt,0.05,44.85,138.48,33.01,15.87,17.14,,,
q20,tt,0.1,96.60,285.36,33.31,17.50,15.81,,,
