Q,config,scale-factor,threads,prover time (s),total verifier time (ms),total proof size (KB)
q1,all_off,0.05,1,63.84,18.94,15.59
q1,pkfk_on_remat_off,0.05,1,63.84,18.81,15.59
q1,pkfk_off_remat_on,0.05,1,56.35,19.11,16.12
q2,all_off,0.05,1,35.25,63.44,46.85
q2,pkfk_on_remat_off,0.05,1,21.04,45.97,32.24
q2,pkfk_off_remat_on,0.05,1,36.27,64.48,47.81
q3,all_off,0.05,1,67.14,25.81,24.52
q3,pkfk_on_remat_off,0.05,1,67.38,25.91,24.54
q3,pkfk_off_remat_on,0.05,1,66.42,26.09,25.81
q4,all_off,0.05,1,68.64,18.33,18.99
q4,pkfk_on_remat_off,0.05,1,68.52,18.26,18.99
q4,pkfk_off_remat_on,0.05,1,60.00,19.16,19.92
q5,all_off,0.05,1,101.82,40.20,36.79
q5,pkfk_on_remat_off,0.05,1,76.44,32.76,28.61
q5,pkfk_off_remat_on,0.05,1,102.42,40.95,37.22
q6,all_off,0.05,1,53.67,13.02,13.52
q6,pkfk_on_remat_off,0.05,1,53.84,13.07,13.52
q6,pkfk_off_remat_on,0.05,1,52.24,13.16,13.77
q7,all_off,0.05,1,150.66,55.01,39.17
q7,pkfk_on_remat_off,0.05,1,104.76,45.91,31.17
q7,pkfk_off_remat_on,0.05,1,154.50,55.39,38.56
q8,all_off,0.05,1,118.08,56.92,42.22
q8,pkfk_on_remat_off,0.05,1,105.66,52.66,38.91
q8,pkfk_off_remat_on,0.05,1,117.36,57.71,42.04
q9,all_off,0.05,1,259.26,42.25,32.51
q9,pkfk_on_remat_off,0.05,1,125.28,29.97,21.60
q9,pkfk_off_remat_on,0.05,1,259.86,42.60,33.09
q10,all_off,0.05,1,178.08,46.11,31.96
q10,pkfk_on_remat_off,0.05,1,153.54,37.25,23.22
q10,pkfk_off_remat_on,0.05,1,176.10,47.04,33.78
q12,all_off,0.05,1,70.86,22.75,19.85
q12,pkfk_on_remat_off,0.05,1,77.34,19.32,15.28
q12,pkfk_off_remat_on,0.05,1,66.24,22.58,19.64
q14,all_off,0.05,1,33.53,15.02,14.75
q14,pkfk_on_remat_off,0.05,1,33.48,15.23,14.75
q14,pkfk_off_remat_on,0.05,1,30.24,15.52,14.66
q15,all_off,0.05,1,102.30,28.95,20.74
q15,pkfk_on_remat_off,0.05,1,102.24,28.04,20.74
q15,pkfk_off_remat_on,0.05,1,62.22,29.17,21.19
q17,all_off,0.05,1,62.52,22.08,19.21
q17,pkfk_on_remat_off,0.05,1,62.52,22.61,19.21
q17,pkfk_off_remat_on,0.05,1,60.48,23.28,20.04
q18,all_off,0.05,1,118.56,31.58,25.79
q18,pkfk_on_remat_off,0.05,1,108.90,27.84,22.08
q18,pkfk_off_remat_on,0.05,1,115.80,31.84,25.28
q19,all_off,0.05,1,173.40,56.88,26.96
q19,pkfk_on_remat_off,0.05,1,173.34,57.02,26.96
q19,pkfk_off_remat_on,0.05,1,127.26,56.95,26.61
q20,all_off,0.05,1,130.38,36.56,32.85
q20,pkfk_on_remat_off,0.05,1,116.94,32.78,28.72
q20,pkfk_off_remat_on,0.05,1,106.98,36.90,33.67
