Q,System,scale-factor,prover time 4threads (s),prover time 1thread (s),total verifier time (ms),core verifier time (ms),preprocessed veritifier time (ms),proof size core(KB),plan size (KB),total proof size (KB)
q1,tt,0.01,,6.73,15.64,8.01,7.63,12.58,0.10,12.60
q1,poneglyph,0.01,,20.56,4.81,,,,,7.47
q1,tt,0.02,,12.58,15.72,8.26,7.46,12.94,0.10,12.96
q1,poneglyph,0.02,,39.22,5.68,,,,,7.47
q1,tt,0.04,,23.69,15.99,8.72,7.27,13.35,0.10,13.36
q1,poneglyph,0.04,,77.49,5.32,,,,,7.47
q3,tt,0.01,,10.76,25.31,12.93,12.38,23.99,0.27,24.04
q3,poneglyph,0.01,,38.50,9.86,,,,,18.28
q3,tt,0.02,,19.01,25.22,13.11,12.11,24.45,0.27,24.49
q3,poneglyph,0.02,,73.05,9.64,,,,,18.28
q3,tt,0.04,,35.21,25.55,12.91,12.64,24.85,0.27,24.89
q3,poneglyph,0.04,,145.00,9.28,,,,,18.28
q5,tt,0.01,,13.09,32.05,14.03,18.02,27.40,0.24,27.44
q5,poneglyph,0.01,,48.31,12.15,,,,,22.94
q5,tt,0.02,,21.93,31.99,14.23,17.76,27.93,0.24,27.97
q5,poneglyph,0.02,,90.98,11.08,,,,,22.94
q5,tt,0.04,,39.49,32.38,14.49,17.89,28.23,0.24,28.27
q5,poneglyph,0.04,,182.65,11.80,,,,,22.94
q8,tt,0.01,,20.96,52.71,22.42,30.29,36.84,0.42,36.87
q8,poneglyph,0.01,,64.99,13.40,,,,,29.59
q8,tt,0.02,,34.24,52.87,22.63,30.24,36.76,0.42,36.82
q8,poneglyph,0.02,,124.44,14.08,,,,,29.62
q8,tt,0.04,,53.59,52.58,22.26,30.32,34.87,0.39,34.93
q8,poneglyph,0.04,,246.21,14.29,,,,,29.59
q9,tt,0.01,,18.67,30.14,11.84,18.30,20.73,0.04,20.75
q9,poneglyph,0.01,,52.12,12.89,,,,,27.66
q9,tt,0.02,,22.50,30.71,12.04,18.67,22.92,0.04,22.93
q9,poneglyph,0.02,,104.46,13.74,,,,,27.69
q9,tt,0.04,,33.60,30.90,11.93,18.97,23.54,0.04,23.55
q9,poneglyph,0.04,,210.02,13.42,,,,,27.69
q18,tt,0.01,,13.70,22.00,15.30,6.70,14.74,0.04,14.75
q18,poneglyph,0.01,,31.64,8.39,,,,,15.62
q18,tt,0.02,,23.95,22.05,15.15,6.90,15.08,0.04,15.09
q18,poneglyph,0.02,,62.98,8.18,,,,,15.66
q18,tt,0.04,,44.10,22.16,14.93,7.23,15.49,0.04,15.50
q18,poneglyph,0.04,,124.35,8.51,,,,,15.66
